scenario,time,push_force,applied_force,pitch,pitch_rate,x,x_velocity,x_drift,wheel_torque,base_height
-50N,0.001,-50.0,0.0,1.275549096431292e-05,0.012755491113348625,-1.688476415371663e-06,-0.0016884764153716628,-1.688476415371663e-06,0.0,0.3433515956834512
-50N,0.002,-50.0,0.0,3.701187861675819e-05,0.024256388190302316,-4.903517827838172e-06,-0.00321504141246651,-4.903517827838172e-06,0.020295486512767386,0.34334290591978095
-50N,0.003,-50.0,0.0,7.187664716997458e-05,0.03486476856283681,-9.569782648436388e-06,-0.004666264820598215,-9.569782648436388e-06,0.038300821557687825,0.3433298930471526
-50N,0.004,-50.0,0.0,0.00011645559931731524,0.04457894925482615,-1.560850522371238e-05,-0.006038722575275993,-1.560850522371238e-05,0.0906471713932531,0.3433125726306671
-50N,0.005,-50.0,0.0,0.00016986445566128598,0.053408847293148834,-2.294006659116578e-05,-0.007331561367453399,-2.294006659116578e-05,0.13892745302018383,0.34329096823026956
-50N,0.006,-50.0,0.0,0.00023123137902154127,0.06136690501017229,-3.148427432838332e-05,-0.008544207737217537,-3.148427432838332e-05,0.1831121037637989,0.3432651108036329
-50N,0.007,-50.0,0.0,0.00029970004692551883,0.06846863835576543,-4.116074655540271e-05,-0.009676472227019386,-4.116074655540271e-05,0.22323816137385985,0.3432350381467799
-50N,0.008,-50.0,0.0,0.0003744328873113871,0.07473280005986438,-5.188932330443098e-05,-0.01072857674902827,-5.188932330443098e-05,0.25935364667144695,0.34320079438738016
-50N,0.009000000000000001,-50.0,0.0,0.000454614361937958,0.08018142718772228,-6.359049278657453e-05,-0.011701169482143546,-6.359049278657453e-05,0.2915206243225579,0.34316242952164616
-50N,0.010000000000000002,-50.0,0.0,0.00053945419111797,0.08483978226113457,-7.618582004273694e-05,-0.012595327256162398,-7.618582004273694e-05,0.319816107773631,0.34311999898751877
-50N,0.011000000000000003,-50.0,0.0,0.000628190429219334,0.08873620380730511,-8.959836709487634e-05,-0.013412547052139404,-8.959836709487634e-05,0.344332422319359,0.3430735632678951
-50N,0.012000000000000004,-50.0,0.0,0.0007200923155174582,0.09190188149482391,-0.0001037530952697907,-0.014154728174914354,-0.0001037530952697907,0.36517705828836594,0.3430231875186369
