rank,kp_pitch,kd_pitch,kx,kv,hip_pitch,knee,leg_kp,leg_kd,warning_count,finite,non_wheel_ground_contact_count,non_wheel_ground_contact_geoms,final_abs_pitch,peak_abs_pitch,peak_abs_x_drift,wheel_torque_saturation_fraction,standing_score,meets_standing_objective
1,35.0,6.0,0.0,12.0,0.0,0.25,60.0,4.0,0,True,0,,9.862568487005388e-05,0.0030696645883413224,0.003812155398870456,0.0,0.010345987315033316,True
2,35.0,6.0,0.0,10.0,0.0,0.25,60.0,4.0,0,True,0,,6.212548314536038e-05,0.0034169820190845137,0.0038370608848107383,0.0,0.010919526855561208,True
3,15.0,6.0,0.0,12.0,0.0,0.25,60.0,4.0,0,True,0,,0.00020287371381343564,0.0033516328095950566,0.0038493744956318923,0.0,0.011364134970075747,True
4,20.0,6.0,0.0,12.0,0.0,0.25,60.0,4.0,0,True,0,,0.00036332509761617475,0.003329593106487134,0.0037389407043882305,0.0,0.011851427307827199,True
5,35.0,4.0,0.0,12.0,0.0,0.25,60.0,4.0,0,True,0,,4.864937360973272e-05,0.004379817061165529,0.003834348599109382,0.0,0.012788580215879369,True
6,35.0,4.0,0.0,10.0,0.0,0.25,60.0,4.0,0,True,0,,0.00010586581298947932,0.004465696943469175,0.0038416261419036285,0.0,0.013196483280799896,True
7,20.0,6.0,0.0,10.0,0.0,0.25,60.0,4.0,0,True,0,,0.0006319917581252937,0.0034205424684745456,0.003970477331507401,0.0,0.013339529300957668,True
8,15.0,4.0,0.0,12.0,0.0,0.25,60.0,4.0,0,True,0,,0.00041339818841630403,0.004914694059980046,0.0037235190869036494,0.0,0.015206499960528957,True
9,20.0,4.0,0.0,12.0,0.0,0.25,60.0,4.0,0,True,0,,0.0006381243677715513,0.004617640853446922,0.0036788379698654947,0.0,0.015466617147845543,True
10,20.0,4.0,0.0,10.0,0.0,0.25,60.0,4.0,0,True,0,,0.0008369091964284374,0.004776958232951463,0.003996150165131122,0.0,0.016897703416747796,True
11,15.0,6.0,0.0,10.0,0.0,0.25,60.0,4.0,0,True,0,,0.002604326889654319,0.0033996654219727493,0.004408386554208454,0.0,0.021625024956771228,True
12,35.0,6.0,16.0,10.0,0.0,0.25,60.0,4.0,0,True,0,,0.0030267528177760944,0.003339845448007273,0.0031322687373953203,0.0,0.021918970904514244,True
13,35.0,6.0,16.0,12.0,0.0,0.25,60.0,4.0,0,True,0,,0.0031369896436919797,0.0031369896436919797,0.0031255931937342746,0.0,0.021947531055886153,True
14,35.0,4.0,16.0,10.0,0.0,0.25,60.0,4.0,0,True,0,,0.003070619610978982,0.004591037197979872,0.0033393566797699226,0.0,0.024803909519645596,True
15,35.0,4.0,16.0,12.0,0.0,0.25,60.0,4.0,0,True,0,,0.003178563312496363,0.004515323376800673,0.0032008779614530825,0.0,0.02494577796503988,True
16,35.0,6.0,20.0,10.0,0.0,0.25,60.0,4.0,0,True,0,,0.0036593597411114687,0.0036597769247437386,0.003008512913606758,0.0,0.02496550572754011,True
17,35.0,6.0,20.0,12.0,0.0,0.25,60.0,4.0,0,True,0,,0.0037313810299095494,0.0037524002987397637,0.003004039350188711,0.0,0.025434364067306436,True
18,35.0,4.0,20.0,10.0,0.0,0.25,60.0,4.0,0,True,0,,0.00370416152219574,0.004581462137291976,0.0033132450609799236,0.0,0.027292815424346833,True
19,35.0,4.0,20.0,12.0,0.0,0.25,60.0,4.0,0,True,0,,0.0037927424236543867,0.005068145432349119,0.0034062965011879874,0.0,0.028713557060503773,True
20,15.0,4.0,0.0,10.0,0.0,0.25,60.0,4.0,0,True,0,,0.004384803796632495,0.0051718190049733935,0.004830639334383096,0.0,0.03271349253085986,True
21,20.0,6.0,16.0,10.0,0.0,0.25,60.0,4.0,0,True,0,,0.008047008221615037,0.008047008221615037,0.0027971561078921655,0.0,0.05107920543758238,True
22,20.0,6.0,16.0,12.0,0.0,0.25,60.0,4.0,0,True,0,,0.00834899013399208,0.00834899013399208,0.0027958599456767586,0.0,0.052889800749629234,True
23,20.0,6.0,20.0,10.0,0.0,0.25,60.0,4.0,0,True,0,,0.00946139386110803,0.00946139386110803,0.002798701367053656,0.0,0.05956706453370184,True
24,20.0,6.0,20.0,12.0,0.0,0.25,60.0,4.0,0,True,0,,0.009621526843987477,0.009621526843987477,0.0027707597815964415,0.0,0.060499920845521304,True
25,20.0,4.0,16.0,10.0,0.0,0.25,60.0,4.0,0,True,0,,0.010073686843889072,0.010105105157382064,0.0033598561695625745,0.0,0.06386481385988299,True
26,20.0,4.0,16.0,12.0,0.0,0.25,60.0,4.0,0,True,0,,0.010467319261449677,0.010467319261449677,0.003484985551031885,0.0,0.06628890111972995,True
27,20.0,4.0,20.0,10.0,0.0,0.25,60.0,4.0,0,True,0,,0.011603420412666009,0.011619224441674687,0.0033664501795165397,0.0,0.07301858071352994,True
28,15.0,6.0,16.0,10.0,0.0,0.25,60.0,4.0,0,True,0,,0.011820672857509183,0.011820672857509183,0.002769208657904713,0.0,0.07369324580295981,True
29,20.0,4.0,20.0,12.0,0.0,0.25,60.0,4.0,0,True,0,,0.01187972234209535,0.01187972234209535,0.00350600812222071,0.0,0.07478434217479282,True
30,35.0,6.0,0.0,10.0,-0.1,0.25,60.0,4.0,0,True,0,,0.0014749315442928335,0.01144856622384597,0.047442801734117614,0.0,0.07623966035898089,True
31,15.0,6.0,16.0,12.0,0.0,0.25,60.0,4.0,0,True,0,,0.012417796892326345,0.012417796892326345,0.0026841782518387874,0.0,0.07719095960579685,True
32,35.0,6.0,0.0,10.0,-0.2,0.25,60.0,4.0,0,True,0,,0.003122141108747383,0.01719881410713003,0.032532975936513574,0.0,0.07941916858576317,True
33,15.0,6.0,20.0,10.0,0.0,0.25,60.0,4.0,0,True,0,,0.013984875017606698,0.013984875017606698,0.002860495751185477,0.0,0.08676974585682566,True
34,35.0,4.0,0.0,12.0,-0.1,0.25,60.0,4.0,0,True,0,,0.0056570516411999245,0.014418538995431397,0.036389341094403616,0.0,0.0878546256500661,True
35,15.0,6.0,20.0,12.0,0.0,0.25,60.0,4.0,0,True,0,,0.01444547964891879,0.01444547964891879,0.0027552707551404525,0.0,0.08942814864865319,True
36,20.0,4.0,0.0,12.0,-0.1,0.25,60.0,4.0,0,True,0,,0.005439532116448035,0.02030982234317558,0.030947148507977463,0.0,0.09332492166012075,True
37,35.0,6.0,20.0,12.0,-0.1,0.25,60.0,4.0,0,True,0,,0.005046910494163631,0.026700965703334967,0.03191490307543854,0.0,0.105504476458763,True
38,15.0,4.0,16.0,10.0,0.0,0.25,60.0,4.0,0,True,0,,0.01709289671583956,0.01709289671583956,0.0033198411249837846,0.0,0.10587722142002115,True
39,35.0,6.0,0.0,12.0,-0.1,0.25,60.0,4.0,0,True,0,,0.008509570327053307,0.013711839056621534,0.04583023747274544,0.0,0.10729219689420175,True
40,35.0,6.0,0.0,12.0,-0.2,0.25,60.0,4.0,0,True,0,,0.00674861399136354,0.024497661189112813,0.03283364952451415,0.0,0.10882342786819393,True
41,35.0,4.0,0.0,10.0,-0.2,0.25,60.0,4.0,0,True,0,,0.005772621089016613,0.028521585192313247,0.031390752237810404,0.0,0.11152440697850335,True
42,35.0,4.0,0.0,12.0,-0.2,0.25,60.0,4.0,0,True,0,,0.0021953574533111232,0.0369129284144689,0.03176810138838686,0.0,0.11437538803056915,True
43,35.0,4.0,0.0,10.0,-0.1,0.25,60.0,4.0,0,True,0,,0.011548174320777788,0.013149318935070072,0.043087465660939094,0.0,0.11557880081419039,True
44,20.0,4.0,0.0,10.0,-0.1,0.25,60.0,4.0,0,True,0,,0.00989598616675168,0.02022030241392978,0.0363876269712061,0.0,0.11641217646607238,True
45,20.0,6.0,0.0,12.0,-0.1,0.25,60.0,4.0,0,True,0,,0.010805514401015116,0.018763340559784854,0.03735329446857159,0.0,0.11810203319220176,True
46,15.0,4.0,16.0,12.0,0.0,0.25,60.0,4.0,0,True,0,,0.019295399384228584,0.019295399384228584,0.003577290000640774,0.0,0.11934968630601228,True
47,15.0,6.0,0.0,10.0,-0.1,0.25,60.0,4.0,0,True,0,,0.011292491497948134,0.01822516561281489,0.039429726721671166,0.0,0.12105002393909348,True
